Lapangan Pekerjaan Utama,Year,Employment
"Pengadaan Listrik, Gas, Uap/Air Panas dan Udara Dingin",2017,300324.0
"Pengadaan Air, Pengelolaan Sampah dan Daur Ulang, Pembuangan dan Pembersihan Limbah dan Sampah",2017,362241.0
Konstruksi,2017,7162968.0
Perdagangan Besar Dan Eceran; Reparasi dan Perawatan Mobil dan Sepeda Motor,2017,23249255.0
Transportasi dan Pergudangan,2017,4936126.0
Penyediaan Akomodasi dan Penyediaan Makan Minum,2017,7082086.0
Informasi dan Komunikasi,2017,848882.0
Jasa Keuangan dan Asuransi,2017,1792228.0
Jasa Perusahaan,2017,1446841.0
"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",2017,5024461.0
Jasa Kesehatan dan Kegiatan Sosial,2017,1843371.0
Jasa Lainnya,2017,5639871.0
"Pertanian, Kehutanan dan Perikanan",2018,39770287.0
Industri Pengolahan,2018,18182039.0
"Pengadaan Listrik, Gas, Uap/Air Panas dan Udara Dingin",2018,349885.0
"Pengadaan Air, Pengelolaan Sampah dan Daur Ulang, Pembuangan dan Pembersihan Limbah dan Sampah",2018,445929.0
Konstruksi,2018,7196235.0
Perdagangan Besar Dan Eceran; Reparasi dan Perawatan Mobil dan Sepeda Motor,2018,23906748.0
Transportasi dan Pergudangan,2018,5181080.0
Penyediaan Akomodasi dan Penyediaan Makan Minum,2018,8195757.0
Informasi dan Komunikasi,2018,1008953.0
Jasa Keuangan dan Asuransi,2018,1713872.0
Jasa Perusahaan,2018,1603695.0
"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",2018,5452858.0
Jasa Kesehatan dan Kegiatan Sosial,2018,2047495.0
Jasa Lainnya,2018,6345351.0
"Pertanian, Kehutanan dan Perikanan",2019,39135917.0
Industri Pengolahan,2019,18467747.0
"Pengadaan Listrik, Gas, Uap/Air Panas dan Udara Dingin",2019,317938.0
"Pengadaan Air, Pengelolaan Sampah dan Daur Ulang, Pembuangan dan Pembersihan Limbah dan Sampah",2019,418510.0
Konstruksi,2019,7763292.0
Perdagangan Besar Dan Eceran; Reparasi dan Perawatan Mobil dan Sepeda Motor,2019,24825952.0
